date,uboat,commander,ship_name,tonnage,nationality,convoy,coordinates
16 Sep 1939,U-13,Karl Daublebsky von Eichhain,City of Paris (d.) [Mine],"10,902",br,-,
16 Sep 1939,U-27,Johannes Franz,Rudyard Kipling,333,br,-,"[('53.83', '-11.17')]"
16 Sep 1939,U-31,Johannes Habekost,Aviemore,"4,060",br,-,"[('49.18', '-13.63')]"
16 Sep 1939,U-33,Hans-Wilhelm von Dresky,Arkleside,"1,567",br,-,"[('48.00', '-9.50')]"
16 Sep 1939,U-41,Gustav-Adolf Mugler,Suomen Poika (c.),"1,099",fi,-,
16 Sep 1939,U-41,Gustav-Adolf Mugler,Vega (c.),974,fi,-,
17 Sep 1939,U-29,Otto Schuhart,HMS Courageous (50),"22,500",br,-,"[('50.17', '-14.75')]"
17 Sep 1939,U-53,Ernst-Günter Heinicke,Kafiristan,"5,193",br,-,"[('50.27', '-16.92')]"
18 Sep 1939,U-32,Paul Büchel,Kensington Court,"4,863",br,-,"[('50.52', '-8.45')]"
18 Sep 1939,U-35,Werner Lott,Arlita,326,br,-,"[('57.85', '-9.47')]"
18 Sep 1939,U-35,Werner Lott,Lord Minto,295,br,-,"[('57.85', '-9.47')]"
21 Sep 1939,U-35,Werner Lott,Teakwood (d.),"6,014",br,OA-7,
22 Sep 1939,U-4,Harro von Klot-Heydenfeldt,Martti-Ragnar,"2,262",fi,-,"[('58.43', '9.30')]"
22 Sep 1939,U-7,Werner Heidel,Akenside,"2,694",br,-,"[('60.12', '4.62')]"
23 Sep 1939,U-4,Harro von Klot-Heydenfeldt,Walma,"1,361",fi,-,"[('58.25', '11.00')]"
24 Sep 1939,U-13,Karl Daublebsky von Eichhain,Phryné [Mine],"2,660",fr,-,
24 Sep 1939,U-31,Johannes Habekost,Hazelside,"4,646",br,-,"[('-23.17', '1.60')]"
24 Sep 1939,U-33,Hans-Wilhelm von Dresky,Caldew,287,br,-,"[('60.78', '-6.33')]"
24 Sep 1939,U-34,Wilhelm Rollmann,Hanonia (c.),"1,781",es,-,
24 Sep 1939,U-4,Harro von Klot-Heydenfeldt,Gertrud Bratt,"1,510",sw,-,"[('58.67', '9.87')]"
25 Sep 1939,U-36,Wilhelm Fröhlich,Silesia,"1,839",sw,-,"[('58.45', '4.80')]"
27 Sep 1939,U-36,Wilhelm Fröhlich,Algeria (c.),"1,617",sw,-,
28 Sep 1939,U-16,Hannes Weingaertner,Nyland,"3,378",sw,-,"[('58.85', '5.00')]"
28 Sep 1939,U-32,Paul Büchel,Jern,875,nw,-,"[('58.50', '3.50')]"
29 Sep 1939,U-7,Werner Heidel,Takstaas (t.),"1,830",nw,-,
30 Sep 1939,U-3,Joachim Schepke,Gun,"1,198",sw,-,"[('57.45', '7.92')]"
30 Sep 1939,U-3,Joachim Schepke,Vendia,"1,150",da,-,"[('57.65', '7.80')]"
3 Oct 1939,U-35,Werner Lott,Diamantis,"4,990",gr,-,"[('49.25', '-6.58')]"
4 Oct 1939,U-23,Otto Kretschmer,Glen Farg,876,br,-,"[('58.87', '-1.52')]"
5 Oct 1939,U-32,Paul Büchel,Marwarri (d.) [Mine],"8,063",br,-,
6 Oct 1939,U-32,Paul Büchel,Lochgoil (d.) [Mine],"9,462",br,-,
7 Oct 1939,U-26,Klaus Ewerth,Binnendijk [Mine],"6,873",nl,-,
8 Oct 1939,U-37,Werner Hartmann,Vistula,"1,018",sw,-,"[('61.22', '0.13')]"
12 Oct 1939,U-37,Werner Hartmann,Aris,"4,810",gr,-,"[('53.47', '-14.50')]"
12 Oct 1939,U-48,Herbert Schultze,Emile Miguet,"14,115",fr,KJ-2,"[('50.25', '-14.83')]"
13 Oct 1939,U-42,Rolf Dau,Stonepool (d.),"4,803",br,OB-17,
13 Oct 1939,U-48,Herbert Schultze,Heronspool,"5,202",br,OB-17,"[('50.22', '-14.80')]"
13 Oct 1939,U-48,Herbert Schultze,Louisiane,"6,903",fr,OA-17,"[('50.23', '-15.33')]"
14 Oct 1939,U-45,Alexander Gelhaar,Bretagne,"10,108",fr,KJF-3,"[('50.33', '-12.75')]"
14 Oct 1939,U-45,Alexander Gelhaar,Lochavon,"9,205",br,KJF-3,"[('50.42', '-13.17')]"
14 Oct 1939,U-47,Günther Prien,HMS Royal Oak (08),"29,150",br,-,"[('58.92', '-2.98')]"
14 Oct 1939,U-48,Herbert Schultze,Sneaton,"3,677",br,-,"[('49.08', '-13.08')]"
15 Oct 1939,U-37,Werner Hartmann,Vermont,"5,186",fr,-,"[('48.02', '-17.37')]"
17 Oct 1939,U-37,Werner Hartmann,Yorkshire,"10,183",br,HG-3,"[('44.87', '-14.52')]"
17 Oct 1939,U-46,Herbert Sohler,City of Mandalay,"7,028",br,HG-3,"[('44.95', '-13.60')]"
17 Oct 1939,U-48,Herbert Schultze,Clan Chisholm,"7,256",br,HG-3,"[('44.95', '-13.67')]"
20 Oct 1939,U-34,Wilhelm Rollmann,Gustaf Adolf,926,sw,-,"[('61.00', '0.80')]"
20 Oct 1939,U-34,Wilhelm Rollmann,Sea Venture,"2,327",br,-,"[('60.83', '0.25')]"
21 Oct 1939,U-15,Heinz Buchholz,Orsa [Mine],"1,478",br,-,
21 Oct 1939,U-19,Hans Meckel,Capitaine Edmond Laborie [Mine],"3,087",fr,-,
21 Oct 1939,U-19,Hans Meckel,Deodata [Mine],"3,295",nw,-,
24 Oct 1939,U-19,Hans Meckel,Konstantinos Hadjipateras [Mine],"5,962",gr,-,
24 Oct 1939,U-37,Werner Hartmann,Ledbury,"3,528",br,-,"[('36.02', '-7.37')]"
24 Oct 1939,U-37,Werner Hartmann,Menin Ridge,"2,474",br,-,"[('36.02', '-7.37')]"
24 Oct 1939,U-37,Werner Hartmann,Tafna,"4,413",br,-,"[('35.73', '-7.38')]"
27 Oct 1939,U-34,Wilhelm Rollmann,Bronte,"5,317",br,OB-25,"[('49.50', '-12.25')]"
28 Oct 1939,U-59,Harald Jürst,Lynx II,250,br,-,"[('59.83', '-4.33')]"
28 Oct 1939,U-59,Harald Jürst,St. Nidan,565,br,-,"[('59.83', '-4.33')]"
29 Oct 1939,U-34,Wilhelm Rollmann,Malabar,"7,976",br,HX-5A,"[('49.95', '-7.62')]"
30 Oct 1939,U-13,Karl Daublebsky von Eichhain,Cairnmona,"4,666",br,HX-5,"[('57.63', '-1.75')]"
30 Oct 1939,U-37,Werner Hartmann,Thrasyvoulos,"3,693",gr,-,"[('49.42', '-11.30')]"
30 Oct 1939,U-59,Harald Jürst,HMS Northern Rover (4.58),655,br,-,"[('59.95', '-4.40')]"
31 Oct 1939,U-25,Viktor Schütze,Baoulé,"5,874",fr,20-K,"[('43.80', '-9.13')]"
3 Oct 1939,U-35,Werner Lott,Diamantis,"4,990",gr,-,
4 Oct 1939,U-23,Otto Kretschmer,Glen Farg,876,br,-,
5 Oct 1939,U-32,Paul Büchel,Marwarri (d.) [Mine],"8,063",br,-,
6 Oct 1939,U-32,Paul Büchel,Lochgoil (d.) [Mine],"9,462",br,-,
7 Oct 1939,U-26,Klaus Ewerth,Binnendijk [Mine],"6,873",nl,-,
8 Oct 1939,U-37,Werner Hartmann,Vistula,"1,018",sw,-,
12 Oct 1939,U-37,Werner Hartmann,Aris,"4,810",gr,-,
12 Oct 1939,U-48,Herbert Schultze,Emile Miguet,"14,115",fr,KJ-2,
13 Oct 1939,U-42,Rolf Dau,Stonepool (d.),"4,803",br,OB-17,
13 Oct 1939,U-48,Herbert Schultze,Heronspool,"5,202",br,OB-17,
13 Oct 1939,U-48,Herbert Schultze,Louisiane,"6,903",fr,OA-17,
14 Oct 1939,U-45,Alexander Gelhaar,Bretagne,"10,108",fr,KJF-3,
14 Oct 1939,U-45,Alexander Gelhaar,Lochavon,"9,205",br,KJF-3,
14 Oct 1939,U-47,Günther Prien,HMS Royal Oak (08),"29,150",br,-,
14 Oct 1939,U-48,Herbert Schultze,Sneaton,"3,677",br,-,
15 Oct 1939,U-37,Werner Hartmann,Vermont,"5,186",fr,-,
17 Oct 1939,U-37,Werner Hartmann,Yorkshire,"10,183",br,HG-3,
17 Oct 1939,U-46,Herbert Sohler,City of Mandalay,"7,028",br,HG-3,
17 Oct 1939,U-48,Herbert Schultze,Clan Chisholm,"7,256",br,HG-3,
20 Oct 1939,U-34,Wilhelm Rollmann,Gustaf Adolf,926,sw,-,
20 Oct 1939,U-34,Wilhelm Rollmann,Sea Venture,"2,327",br,-,
21 Oct 1939,U-15,Heinz Buchholz,Orsa [Mine],"1,478",br,-,
21 Oct 1939,U-19,Hans Meckel,Capitaine Edmond Laborie [Mine],"3,087",fr,-,
21 Oct 1939,U-19,Hans Meckel,Deodata [Mine],"3,295",nw,-,
24 Oct 1939,U-19,Hans Meckel,Konstantinos Hadjipateras [Mine],"5,962",gr,-,
24 Oct 1939,U-37,Werner Hartmann,Ledbury,"3,528",br,-,
24 Oct 1939,U-37,Werner Hartmann,Menin Ridge,"2,474",br,-,
24 Oct 1939,U-37,Werner Hartmann,Tafna,"4,413",br,-,
27 Oct 1939,U-34,Wilhelm Rollmann,Bronte,"5,317",br,OB-25,
28 Oct 1939,U-59,Harald Jürst,Lynx II,250,br,-,
28 Oct 1939,U-59,Harald Jürst,St. Nidan,565,br,-,
29 Oct 1939,U-34,Wilhelm Rollmann,Malabar,"7,976",br,HX-5A,
30 Oct 1939,U-13,Karl Daublebsky von Eichhain,Cairnmona,"4,666",br,HX-5,
30 Oct 1939,U-37,Werner Hartmann,Thrasyvoulos,"3,693",gr,-,
30 Oct 1939,U-59,Harald Jürst,HMS Northern Rover (4.58),655,br,-,
31 Oct 1939,U-25,Viktor Schütze,Baoulé,"5,874",fr,20-K,
9 Nov 1939,U-34,Wilhelm Rollmann,Snar (c.),"3,176",nw,-,
12 Nov 1939,U-41,Gustav-Adolf Mugler,Arne Kjøde,"11,019",nw,-,"[('58.85', '-8.12')]"
12 Nov 1939,U-41,Gustav-Adolf Mugler,Cresswell,275,br,-,"[('58.53', '-7.92')]"
13 Nov 1939,U-26,Klaus Ewerth,Loire,"4,285",fr,-,"[('36.27', '-2.22')]"
16 Nov 1939,U-43,Wilhelm Ambrosius,Arlington Court,"4,915",br,SL-7A,"[('48.23', '-11.70')]"
17 Nov 1939,U-28,Günter Kuhnke,Sliedrecht,"5,133",nl,-,"[('56.00', '-11.32')]"
17 Nov 1939,U-57,Claus Korth,Kaunas,"1,566",li,-,"[('52.08', '2.50')]"
18 Nov 1939,U-18,Max-Hermann Bauer,Parkhill,500,br,-,"[('58.12', '-2.30')]"
18 Nov 1939,U-19,Wilhelm Müller-Arnecke,Carica Milica [Mine],"6,371",yu,-,
18 Nov 1939,U-22,Karl-Heinrich Jenisch,Wigmore,345,br,IFC,"[('57.98', '-2.30')]"
19 Nov 1939,U-13,Heinz Scheringer,Bowling,793,br,-,"[('55.75', '-1.58')]"
19 Nov 1939,U-41,Gustav-Adolf Mugler,Darino,"1,351",br,-,"[('44.20', '-11.12')]"
19 Nov 1939,U-49,Kurt von Gossler,Pensilva,"4,258",br,-,"[('46.85', '-11.60')]"
19 Nov 1939,U-57,Claus Korth,Stanbrook,"1,383",br,-,"[('51.85', '2.42')]"
20 Nov 1939,U-33,Hans-Wilhelm von Dresky,Delphine,250,br,-,"[('55.45', '-8.42')]"
20 Nov 1939,U-33,Hans-Wilhelm von Dresky,Sea Sweeper,329,br,-,"[('55.65', '-8.58')]"
20 Nov 1939,U-33,Hans-Wilhelm von Dresky,Thomas Hankins,276,br,-,"[('55.35', '-8.58')]"
21 Nov 1939,U-16,Horst Wellner,Ste. Claire [Mine],57,fr,-,
21 Nov 1939,U-21,Fritz Frauenheim,HMS Belfast (35) (d.) [Mine],"11,500",br,-,
21 Nov 1939,U-33,Hans-Wilhelm von Dresky,Sulby,287,br,-,"[('55.85', '-8.25')]"
21 Nov 1939,U-33,Hans-Wilhelm von Dresky,William Humphries,276,br,-,"[('55.85', '-8.25')]"
21 Nov 1939,U-41,Gustav-Adolf Mugler,Les Barges II,296,fr,-,"[('45.58', '-3.37')]"
22 Nov 1939,U-26,Klaus Ewerth,Elena R. [Mine],"4,576",gr,-,
22 Nov 1939,U-43,Wilhelm Ambrosius,Arijon,"4,374",fr,14-BS,"[('45.67', '-4.83')]"
23 Nov 1939,U-33,Hans-Wilhelm von Dresky,Borkum (t.),"3,670",dt,-,
25 Nov 1939,U-28,Günter Kuhnke,Royston Grange,"5,144",br,SL-8B,"[('49.25', '-9.00')]"
25 Nov 1939,U-43,Wilhelm Ambrosius,Uskmouth,"2,483",br,-,"[('43.37', '-11.45')]"
27 Nov 1939,U-48,Herbert Schultze,Gustaf E. Reuter,"6,336",sw,-,"[('59.63', '-2.05')]"
29 Nov 1939,U-20,Karl-Heinz Moehle,Ionian [Mine],"3,114",br,FN-43,
1 Dec 1939,U-31,Johannes Habekost,Arcturus,"1,277",nw,-,"[('57.65', '0.60')]"
2 Dec 1939,U-56,Wilhelm Zahn,Eskdene (d.),"3,829",br,HN-3,
3 Dec 1939,U-31,Johannes Habekost,Ove Toft,"2,135",da,-,"[('55.60', '-0.77')]"
3 Dec 1939,U-56,Wilhelm Zahn,Rudolf,"2,119",sw,-,"[('58.12', '1.53')]"
4 Dec 1939,U-31,Johannes Habekost,Gimle,"1,271",nw,-,"[('57.25', '1.83')]"
4 Dec 1939,U-31,Johannes Habekost,HMS Nelson (28) (d.) [Mine],"33,950",br,-,
4 Dec 1939,U-31,Johannes Habekost,Primula,"1,024",nw,-,"[('57.25', '1.83')]"
5 Dec 1939,U-47,Günther Prien,Navasota,"8,795",br,OB-46,"[('50.72', '-10.27')]"
6 Dec 1939,U-31,Johannes Habekost,Agu,"1,575",es,-,"[('56.05', '0.58')]"
6 Dec 1939,U-31,Johannes Habekost,Vinga,"1,974",sw,-,"[('56.42', '1.13')]"
6 Dec 1939,U-47,Günther Prien,Britta,"6,214",nw,-,"[('60.00', '-4.32')]"
6 Dec 1939,U-59,Harald Jürst,HMS Washington [Mine],209,br,-,
7 Dec 1939,U-38,Heinrich Liebe,Thomas Walton,"4,460",br,-,"[('67.87', '14.47')]"
7 Dec 1939,U-47,Günther Prien,Tajandoen,"8,159",nl,-,"[('49.15', '-4.85')]"
8 Dec 1939,U-23,Otto Kretschmer,Scotia,"2,400",da,-,"[('57.52', '2.28')]"
8 Dec 1939,U-48,Herbert Schultze,Brandon,"6,668",br,OB-48,"[('50.47', '-8.47')]"
9 Dec 1939,U-20,Karl-Heinz Moehle,Magnus,"1,339",da,-,"[('57.80', '-0.58')]"
9 Dec 1939,U-48,Herbert Schultze,San Alberto,"7,397",br,OB-48,"[('49.33', '-9.75')]"
10 Dec 1939,U-20,Karl-Heinz Moehle,Føina,"1,674",nw,-,"[('57.75', '-1.10')]"
10 Dec 1939,U-20,Karl-Heinz Moehle,Willowpool [Mine],"4,815",br,HG-9,
11 Dec 1939,U-38,Heinrich Liebe,Garoufalia,"4,708",gr,-,"[('64.60', '10.70')]"
12 Dec 1939,U-59,Harald Jürst,Marwick Head [Mine],496,br,-,
13 Dec 1939,U-38,Heinrich Liebe,Deptford,"4,101",br,-,"[('62.25', '5.13')]"
13 Dec 1939,U-57,Claus Korth,Mina,"1,173",es,-,"[('52.25', '2.08')]"
15 Dec 1939,U-48,Herbert Schultze,Germaine,"5,217",gr,-,"[('51.00', '-12.30')]"
16 Dec 1939,U-59,Harald Jürst,Glitrefjell,"1,568",nw,-,"[('56.23', '1.07')]"
16 Dec 1939,U-59,Harald Jürst,Lister,"1,366",sw,-,"[('55.22', '1.55')]"
17 Dec 1939,U-59,Harald Jürst,Bogø,"1,214",da,-,"[('56.20', '-0.28')]"
17 Dec 1939,U-59,Harald Jürst,Jaegersborg,"1,245",da,-,"[('57.25', '-0.20')]"
19 Dec 1939,U-60,Georg Schewe,City of Kobe [Mine],"4,373",br,FS-56,
20 Dec 1939,U-22,Karl-Heinrich Jenisch,Mars [Mine],"1,877",sw,-,
21 Dec 1939,U-21,Fritz Frauenheim,Carl Henckel,"1,352",sw,-,"[('57.00', '0.28')]"
21 Dec 1939,U-21,Fritz Frauenheim,Mars,"1,475",sw,-,"[('57.00', '0.33')]"
21 Dec 1939,U-46,Herbert Sohler,Rudolf,924,nw,-,
22 Dec 1939,U-61,Jürgen Oesten,Gryfevale (d.) [Mine],"4,434",br,-,
23 Dec 1939,U-22,Karl-Heinrich Jenisch,HMS Dolphin [Mine],"3,099",br,-,
23 Dec 1939,U-31,Johannes Habekost,HMS Glen Albyn [Mine],82,br,-,
23 Dec 1939,U-31,Johannes Habekost,HMS Promotive [Mine],78,br,-,
25 Dec 1939,U-22,Karl-Heinrich Jenisch,HMS Loch Doon (FY 127) [Mine],534,br,-,
25 Dec 1939,U-33,Hans-Wilhelm von Dresky,Stanholme [Mine],"2,473",br,-,
28 Dec 1939,U-15,Heinz Buchholz,Resercho [Mine],258,br,-,
28 Dec 1939,U-22,Karl-Heinrich Jenisch,Hanne [Mine],"1,080",da,-,
28 Dec 1939,U-30,Fritz-Julius Lemp,HMS Barbara Robertson,325,br,-,"[('58.90', '-6.50')]"
28 Dec 1939,U-30,Fritz-Julius Lemp,HMS Barham (04) (d.),"31,100",br,-,
31 Dec 1939,U-32,Paul Büchel,Luna,959,nw,-,"[('58.80', '3.33')]"
3 Jan 1940,U-58,Herbert Kuppisch,Svartön,"2,475",sw,HN-6,"[('57.80', '-1.78')]"
6 Jan 1940,U-13,Heinz Scheringer,City of Marseilles (d.) [Mine],"8,317",br,-,
9 Jan 1940,U-19,Joachim Schepke,Manx,"1,343",nw,-,"[('58.50', '-1.55')]"
11 Jan 1940,U-23,Otto Kretschmer,Fredville,"1,150",nw,-,"[('58.42', '-1.17')]"
11 Jan 1940,U-30,Fritz-Julius Lemp,El Oso [Mine],"7,267",br,HX-14B,
12 Jan 1940,U-23,Otto Kretschmer,Danmark (t.),"10,517",da,-,
13 Jan 1940,U-20,Karl-Heinz Moehle,Sylvia,"1,524",sw,-,"[('58.75', '-1.20')]"
15 Jan 1940,U-44,Ludwig Mathes,Arendskerk,"7,906",nl,-,"[('46.92', '-6.57')]"
15 Jan 1940,U-44,Ludwig Mathes,Fagerheim,"1,590",nw,-,"[('47.33', '-6.27')]"
16 Jan 1940,U-30,Fritz-Julius Lemp,Gracia (d.) [Mine],"5,642",br,OB-72,
16 Jan 1940,U-33,Hans-Wilhelm von Dresky,Inverdargle [Mine],"9,456",br,-,
16 Jan 1940,U-44,Ludwig Mathes,Panachrandos,"4,661",gr,-,"[('48.50', '-9.17')]"
17 Jan 1940,U-25,Viktor Schütze,Enid,"1,140",nw,-,"[('60.97', '-0.88')]"
17 Jan 1940,U-25,Viktor Schütze,Polzella,"4,751",br,-,"[('61.00', '-1.00')]"
17 Jan 1940,U-30,Fritz-Julius Lemp,Cairnross [Mine],"5,494",br,OB-74,
18 Jan 1940,U-25,Viktor Schütze,Pajala,"6,873",sw,-,"[('59.08', '-5.93')]"
18 Jan 1940,U-44,Ludwig Mathes,Canadian Reefer,"1,831",da,-,"[('42.65', '-9.70')]"
18 Jan 1940,U-55,Werner Heidel,Foxen,"1,304",sw,-,"[('58.87', '-0.37')]"
18 Jan 1940,U-9,Wolfgang Lüth,Flandria,"1,179",sw,-,"[('54.00', '3.67')]"
19 Jan 1940,U-55,Werner Heidel,Telnes,"1,694",nw,-,"[('60.00', '-4.00')]"
19 Jan 1940,U-59,Harald Jürst,Quiberon,"1,296",fr,-,"[('52.57', '2.08')]"
19 Jan 1940,U-9,Wolfgang Lüth,Patria,"1,188",sw,-,"[('54.27', '3.50')]"
20 Jan 1940,U-34,Wilhelm Rollmann,Caroni River [Mine],"7,807",br,-,
20 Jan 1940,U-44,Ludwig Mathes,Ekatontarchos Dracoulis,"5,329",gr,-,"[('40.33', '-10.12')]"
20 Jan 1940,U-57,Claus Korth,Miranda,"1,328",nw,-,"[('58.23', '-2.08')]"
21 Jan 1940,U-22,Karl-Heinrich Jenisch,Ferryhill [Mine],"1,086",br,-,
21 Jan 1940,U-22,Karl-Heinrich Jenisch,HMS Exmouth (H 02),"1,475",br,-,"[('58.30', '-2.42')]"
21 Jan 1940,U-22,Karl-Heinrich Jenisch,Tekla,"1,469",da,-,"[('58.30', '-2.42')]"
21 Jan 1940,U-28,Günter Kuhnke,Protesilaus (t.) [Mine],"9,577",br,-,
21 Jan 1940,U-55,Werner Heidel,Andalusia,"1,357",sw,-,"[('58.50', '-8.00')]"
22 Jan 1940,U-25,Viktor Schütze,Songa,"2,589",nw,-,"[('49.75', '-12.58')]"
22 Jan 1940,U-51,Dietrich Knorr,Gothia,"1,640",sw,-,"[('57.77', '-9.83')]"
22 Jan 1940,U-55,Werner Heidel,Segovia,"1,387",nw,-,"[('58.00', '-8.75')]"
22 Jan 1940,U-61,Jürgen Oesten,Sydfold,"2,434",nw,-,"[('58.67', '-0.50')]"
23 Jan 1940,U-18,Ernst Mengersen,Bisp,"1,000",nw,-,"[('58.85', '1.00')]"
23 Jan 1940,U-19,Joachim Schepke,Baltanglia,"1,523",br,-,"[('55.58', '-1.45')]"
23 Jan 1940,U-19,Joachim Schepke,Pluto,"1,598",nw,-,"[('59.35', '-7.80')]"
23 Jan 1940,U-56,Wilhelm Zahn,Onto [Mine],"1,333",fi,-,
24 Jan 1940,U-23,Otto Kretschmer,Varild,"1,085",nw,-,"[('59.45', '-0.40')]"
24 Jan 1940,U-44,Ludwig Mathes,Alsacien,"3,819",fr,56-KS,"[('39.02', '-9.90')]"
25 Jan 1940,U-14,Herbert Wohlfarth,Biarritz,"1,752",nw,-,"[('52.65', '4.25')]"
25 Jan 1940,U-19,Joachim Schepke,Everene,"4,434",le,-,"[('55.70', '-1.50')]"
25 Jan 1940,U-19,Joachim Schepke,Gudveig,"1,300",nw,-,"[('55.70', '-1.50')]"
25 Jan 1940,U-44,Ludwig Mathes,Tourny,"2,769",fr,56-KS,"[('41.08', '-9.37')]"
26 Jan 1940,U-57,Claus Korth,HMS Durham Castle [Mine],"8,240",br,-,
27 Jan 1940,U-20,Harro von Klot-Heydenfeldt,England,"2,319",da,-,"[('58.42', '-1.88')]"
27 Jan 1940,U-20,Harro von Klot-Heydenfeldt,Faro (t.),844,nw,-,
27 Jan 1940,U-20,Harro von Klot-Heydenfeldt,Fredensborg,"2,094",da,-,"[('58.42', '-1.88')]"
27 Jan 1940,U-20,Harro von Klot-Heydenfeldt,Hosanger,"1,591",nw,-,"[('58.42', '-1.88')]"
28 Jan 1940,U-22,Karl-Heinrich Jenisch,Eston [Mine],"1,487",br,FN-81,
28 Jan 1940,U-34,Wilhelm Rollmann,Eleni Stathatou,"5,625",gr,-,"[('48.82', '-8.57')]"
28 Jan 1940,U-44,Ludwig Mathes,Flora,"2,980",gr,-,"[('11.92', '-72.60')]"
29 Jan 1940,U-51,Dietrich Knorr,Eika,"1,503",nw,-,"[('50.00', '-10.00')]"
30 Jan 1940,U-55,Werner Heidel,Keramiai,"5,085",gr,OA-80G,"[('48.62', '-7.77')]"
30 Jan 1940,U-55,Werner Heidel,Vaclite,"5,026",br,OA-80G,"[('49.33', '-7.07')]"
31 Jan 1940,U-13,Max-Martin Schulte,Start,"1,168",nw,-,"[('57.75', '-1.80')]"
31 Jan 1940,U-21,Wolf-Harro Stiebler,Vidar,"1,353",da,-,"[('58.65', '2.00')]"
1 Feb 1940,U-59,Harald Jürst,Ellen M.,498,br,-,"[('52.55', '2.25')]"
2 Feb 1940,U-59,Harald Jürst,Creofield,838,br,-,"[('52.55', '2.42')]"
2 Feb 1940,U-59,Harald Jürst,Portelet,"1,064",br,-,"[('52.67', '2.22')]"
3 Feb 1940,U-25,Viktor Schütze,Armanistan,"6,805",br,OG-16,"[('38.25', '-11.25')]"
3 Feb 1940,U-58,Herbert Kuppisch,Reet,815,es,-,"[('58.75', '0.60')]"
4 Feb 1940,U-37,Werner Hartmann,Hop,"1,365",nw,-,"[('58.92', '-0.23')]"
4 Feb 1940,U-37,Werner Hartmann,Leo Dawson,"4,330",br,-,"[('60.17', '-0.65')]"
5 Feb 1940,U-41,Gustav-Adolf Mugler,Beaverburn,"9,874",br,OA-84,"[('49.33', '-10.12')]"
5 Feb 1940,U-41,Gustav-Adolf Mugler,Ceronia (d.),"8,096",nl,-,
6 Feb 1940,U-13,Heinz Scheringer,Anu [Mine],"1,421",es,-,
7 Feb 1940,U-30,Fritz-Julius Lemp,Munster [Mine],"4,305",br,-,
9 Feb 1940,U-30,Fritz-Julius Lemp,Chagres [Mine],"5,406",br,-,
10 Feb 1940,U-37,Werner Hartmann,Silja,"1,259",nw,-,"[('51.35', '-11.53')]"
10 Feb 1940,U-48,Herbert Schultze,Burgerdijk,"6,853",nl,-,"[('49.75', '-6.50')]"
11 Feb 1940,U-37,Werner Hartmann,Togimo,290,br,-,"[('50.67', '-11.03')]"
11 Feb 1940,U-50,Max-Hermann Bauer,Orania,"1,854",sw,-,"[('61.55', '-0.12')]"
11 Feb 1940,U-53,Harald Grosse,Imperial Transport (d.),"8,022",br,-,
11 Feb 1940,U-53,Harald Grosse,Snestad,"4,114",nw,-,"[('58.67', '-13.67')]"
11 Feb 1940,U-9,Wolfgang Lüth,Linda,"1,213",es,-,"[('58.85', '1.90')]"
