date,vessel,type,class
Royal Navy,25 Apr 1940,HMS Bradman (FY 189),ASW Trawler
Royal Navy,25 Apr 1940,HMS Hammond (FY 149),ASW Trawler
Royal Navy,25 Apr 1940,HMS Larwood (FY 172),ASW Trawler
Royal Navy,29 Apr 1940,HMS Cape Chelyuskin (FY 119),ASW Trawler
Royal Navy,29 Apr 1940,HMS Cape Siretoko (FY 263),ASW Trawler
Royal Navy,29 Apr 1940,HMS Unity (N 66),Submarine
Royal Navy,30 Apr 1940,HMS Bittern (L 07),Sloop
Royal Navy,30 Apr 1940,HMS Dunoon (J 52),Minesweeper
Royal Navy,30 Apr 1940,HMS Jardine (FY 169),ASW Trawler
French Navy,30 Apr 1940,FR Maille Breze,Large destroyer
Royal Navy,30 Apr 1940,HMS Warwickshire (FY 113),ASW Trawler
Royal Navy,1 May 1940,HMS St. Goran,ASW Trawler
Royal Navy,2 May 1940,HMS Afridi (F 07),Destroyer
Royal Navy,3 May 1940,HMS Aston Villa (FY 261),ASW Trawler
French Navy,3 May 1940,FR Bison,Large destroyer
Royal Navy,3 May 1940,HMS Gaul,ASW Trawler
Polish Navy,4 May 1940,ORP Grom (H 71),Destroyer
Royal Navy,6 May 1940,HMS Loch Naver,MS Trawler
French Navy,9 May 1940,FR Doris,Submarine
Royal Dutch Navy,10 May 1940,HNMS Van Galen (i) (VG),Destroyer
Royal Dutch Navy,12 May 1940,HNMS Friso (i),Gunboat
Royal Dutch Navy,13 May 1940,HNMS M 2,Minesweeper
Royal Dutch Navy,14 May 1940,HNMS Abraham van der Hulst,Minesweeper
Royal Dutch Navy,14 May 1940,HNMS Brinio,Gunboat
Royal Dutch Navy,14 May 1940,HNMS G 16,Torpedo boat
Royal Dutch Navy,14 May 1940,HNMS Johan Maurits van Nassau (i),Sloop
Royal Dutch Navy,14 May 1940,HNMS M 1,Minesweeper
Royal Dutch Navy,14 May 1940,HNMS M 3,Minesweeper
Royal Dutch Navy,14 May 1940,HNMS M 4,Minesweeper
Royal Dutch Navy,14 May 1940,HNMS O 11,Submarine
Royal Dutch Navy,14 May 1940,HNMS O 12,Submarine
Royal Dutch Navy,14 May 1940,HNMS O 8,Submarine
Royal Dutch Navy,14 May 1940,HNMS Pieter Florisz,Minesweeper
Royal Dutch Navy,14 May 1940,HNMS Z 3,Torpedo boat
Royal Dutch Navy,15 May 1940,HNMS Hydra,Minelayer
Royal Navy,15 May 1940,HMS Valentine (i) (L 69),Destroyer
Royal Navy,18 May 1940,HMS Effingham (D 98),Light cruiser
Royal Navy,19 May 1940,HMS Princess Victoria (M 03),Minelayer
Royal Navy,19 May 1940,HMS Whitley (L 23),Destroyer
Royal Navy,20 May 1940,HMS Rifsnes,MS Trawler
Royal Navy,21 May 1940,HMS Cape Passaro (FY 270),ASW Trawler
French Navy,21 May 1940,FR L'Adroit,Destroyer
Royal Navy,22 May 1940,HMS Melbourne,ASW Trawler
French Navy,23 May 1940,FR Jaguar,Large destroyer
French Navy,23 May 1940,FR Orage,Destroyer
French Navy,24 May 1940,FR Chacal,Large destroyer
Royal Navy,24 May 1940,HMS Wessex (i) (D 43),Destroyer
Royal Navy,25 May 1940,HMS Charles Boyes,MS Trawler
Royal Navy,26 May 1940,HMS Curlew (D 42),Light cruiser
Royal Navy,28 May 1940,HMS Thomas Bartlett (FY 553),MS Trawler
Royal Navy,28 May 1940,HMS Thuringia (FY 106),ASW Trawler
Royal Navy,29 May 1940,HMS Calvi,MS Trawler
Royal Navy,29 May 1940,HMS Grafton (H 89),Destroyer
Royal Navy,29 May 1940,HMS Grenade (H 86),Destroyer
Royal Navy,29 May 1940,HMS Polly Johnson,MS Trawler
Royal Navy,29 May 1940,HMS Wakeful (i) (H 88),Destroyer
French Navy,30 May 1940,FR Bourrasque,Destroyer
Royal Navy,30 May 1940,HMS King Orry,Armed boarding vessel
French Navy,31 May 1940,FR Sirocco,Destroyer
Royal Navy,31 May 1940,HMS St. Achilleus (FY 152),ASW Trawler
Royal Navy,Jun 1940,HMS Odin (N 84),Submarine
Royal Navy,Jun 1940,HMS Orpheus (i) (N 46),Submarine
Royal Navy,1 Jun 1940,HMS Argyllshire,ASW Trawler
Royal Navy,1 Jun 1940,HMS Basilisk (H 11),Destroyer
French Navy,1 Jun 1940,FR Foudroyant,Destroyer
Royal Navy,1 Jun 1940,HMS Havant (H 32),Destroyer
Royal Navy,1 Jun 1940,HMS Keith (D 06),Destroyer
Royal Navy,1 Jun 1940,HMS Mosquito (T 94),River gunboat
Royal Navy,1 Jun 1940,HMS Narcissus,Armed Yacht
Royal Navy,1 Jun 1940,HMS Skipjack (J 38),Minesweeper
Royal Navy,1 Jun 1940,HMS St. Abbs (W 02),Rescue Tug
Royal Navy,1 Jun 1940,HMS St. Fagan (W 74),Rescue Tug
Royal Navy,1 Jun 1940,HMS Stella Dorado (FY 131),ASW Trawler
Royal Navy,2 Jun 1940,HMS Blackburn Rovers (FY 116),ASW Trawler
Royal Navy,2 Jun 1940,HMS Westella (FY 161),ASW Trawler
Royal Navy,6 Jun 1940,HMS Carinthia,Armed Merchant Cruiser
Royal Navy,8 Jun 1940,HMS Acasta (H 09),Destroyer
Royal Navy,8 Jun 1940,HMS Ardent (H 41),Destroyer
Royal Navy,8 Jun 1940,HMS Glorious (77),Aircraft Carrier
Royal Navy,8 Jun 1940,HMS Juniper (T 123),MS Trawler
Polish Navy,8 Jun 1940,ORP Orzel (85 A),Submarine
Royal Norwegian Navy,9 Jun 1940,HNoMS B-3,Submarine
Royal Navy,10 Jun 1940,HMS Vandyk,Armed boarding vessel
Royal Navy,12 Jun 1940,HMS Calypso (D 61),Light cruiser
Royal Navy,12 Jun 1940,HMS Sisapon,MS Trawler
Royal Navy,12 Jun 1940,HMS Twente,Tug
Royal Navy,13 Jun 1940,HMS Scotstoun,Armed Merchant Cruiser
Royal Navy,14 Jun 1940,HMS Myrtle (T 91),MS Trawler
Royal Navy,16 Jun 1940,HMS Andania,Armed Merchant Cruiser
Royal Navy,16 Jun 1940,HMS Grampus (N 56),Submarine
French Navy,16 Jun 1940,FR Morse,Submarine
French Navy,18 Jun 1940,FR Achille,Submarine
French Navy,18 Jun 1940,FR Agosta,Submarine
French Navy,18 Jun 1940,FR Cyclone,Destroyer
French Navy,18 Jun 1940,FR Enseigne Henry,Gunboat
French Navy,18 Jun 1940,FR Etourdi,Gunboat
French Navy,18 Jun 1940,FR Ouessant,Submarine
French Navy,18 Jun 1940,FR Pasteur,Submarine
French Navy,18 Jun 1940,FR Vauquois,Gunboat
Royal Navy,22 Jun 1940,HMS Campeador V (FY 002),Armed Yacht
French Navy,22 Jun 1940,FR La Bastiaise,Corvette
Royal Navy,23 Jun 1940,HMS Coringa,Rescue Tug
Royal Navy,23 Jun 1940,HMS Khartoum (F 45),Destroyer
Royal Indian Navy,23 Jun 1940,HMIS Pathan (K 26),Patrol craft
Royal Canadian Navy,25 Jun 1940,HMCS Fraser (H 48),Destroyer
Royal Dutch Navy,25 Jun 1940,HNMS O 13 (N 13),Submarine
Royal Norwegian Navy,29 Jun 1940,HNoMS No. 6 (6),Motor Torpedo Boat
French Navy,3 Jul 1940,FR Bretagne,Battleship
Royal Navy,4 Jul 1940,HMS Foylebank,Anti-Aircraft ship
French Navy,4 Jul 1940,FR Rigault de Genouilly,Colonial sloop
Royal Navy,5 Jul 1940,HMS Whirlwind (i) (D 30),Destroyer
Royal Navy,6 Jul 1940,HMS Shark (i) (N 54),Submarine
Royal Navy,8 Jul 1940,HMS Cayton Wyke (FY 191),ASW Trawler
Royal Navy,11 Jul 1940,HMS Escort (H 66),Destroyer
Royal Navy,16 Jul 1940,HMS Imogen (D 44),Destroyer
Royal Navy,16 Jul 1940,HMS Phoenix (N 96),Submarine
Royal Navy,16 Jul 1940,HMS Salmon (N 65),Submarine
Royal Navy,17 Jul 1940,HMS Steady,Mooring vessel
Royal Navy,19 Jul 1940,HMS Crestflower (FY 367),MS Trawler
Royal Navy,20 Jul 1940,HMS Brazen (H 80),Destroyer
Royal Navy,23 Jul 1940,HMS Narwhal (N 45),Submarine
Royal Navy,24 Jul 1940,HMS Fleming,MS Trawler
Royal Navy,24 Jul 1940,HMS Kingston Galena (FY 145),ASW Trawler
Royal Navy,24 Jul 1940,HMS Rodino (FY 840),MS Trawler
Royal Navy,27 Jul 1940,HMS Codrington (D 65),Destroyer
Royal Navy,27 Jul 1940,HMS Wren (i) (D 88),Destroyer
Royal Navy,30 Jul 1940,HMS Delight (H 38),Destroyer
Royal Navy,1 Aug 1940,HMS Oswald (N 58),Submarine
Royal Navy,1 Aug 1940,HMS Spearfish (N 69),Submarine
Royal Navy,2 Aug 1940,HMS Cape Finisterre,ASW Trawler
Royal Navy,3 Aug 1940,HMS Thames (N 71),Submarine
Royal Navy,4 Aug 1940,HMS Drummer,MS Trawler
Royal Navy,4 Aug 1940,HMS Marsona (FY 714),MS Trawler
Royal Navy,5 Aug 1940,HMS River Clyde,MS Trawler
Royal Navy,10 Aug 1940,HMS Transylvania (F 56),Armed Merchant Cruiser
Royal Navy,12 Aug 1940,HMS Pyrope,MS Trawler
Royal Navy,12 Aug 1940,HMS Tamarisk (FY 97),MS Trawler
Royal Navy,13 Aug 1940,HMS Elizabeth Angela (FY 767),MS Trawler
Royal Hellenic Navy,15 Aug 1940,RHS Helli,Minelaying cruiser
Royal Navy,15 Aug 1940,HMS Moorstone,Mooring vessel
Royal Navy,20 Aug 1940,HMS Resparko (FY 822),MS Trawler
Royal Navy,23 Aug 1940,HMS Hostile (H 55),Destroyer
Royal Navy,24 Aug 1940,HMS Penzance (L 28),Sloop
Royal Navy,27 Aug 1940,HMS Dunvegan Castle,Armed Merchant Cruiser
Royal Navy,31 Aug 1940,HMS Esk (H 15),Destroyer
Royal Navy,1 Sep 1940,HMS Ivanhoe (D 16),Destroyer
Royal Navy,1 Sep 1940,HMS Royalo,MS Trawler
Royal Navy,4 Sep 1940,HMS Saucy (i),Rescue Tug
Royal Navy,6 Sep 1940,HMS Godetia (i) (K 72),Corvette
Royal Navy,7 Sep 1940,HMS Rhodora (FY 023),Armed Yacht
Royal Navy,12 Sep 1940,HMS Salvage King,Rescue Tug
Royal Navy,15 Sep 1940,HMS Dundee (L 84),Sloop
French Navy,23 Sep 1940,FR Persée,Submarine
French Navy,24 Sep 1940,FR Ajax,Submarine
Royal Navy,24 Sep 1940,HMS MTB 15 (MTB 15),Motor Torpedo Boat
Royal Navy,25 Sep 1940,HMS Stella Sirius,ASW Trawler
Royal Navy,28 Sep 1940,HMS Recoil,ASW Trawler
Royal Navy,30 Sep 1940,HMS Comet,MS Trawler
Royal Navy,4 Oct 1940,HMS Rainbow (N 16),Submarine
Royal Navy,5 Oct 1940,HMS Kingston Sapphire (4.81),ASW Trawler
Royal Navy,9 Oct 1940,HMS Sea King,MS Trawler
Royal Navy,12 Oct 1940,HMS Warwick Deeping (FY 182),ASW Trawler
Royal Navy,13 Oct 1940,HMS Danube III,Rescue Tug
Royal Navy,13 Oct 1940,HMS Resolvo (FY 821),MS Trawler
Royal Navy,14 Oct 1940,HMS Lord Stamp,ASW Trawler
Royal Navy,15 Oct 1940,HMS Triad (N 53),Submarine
Royal Navy,16 Oct 1940,HMS MTB 106 (MTB 106),Motor Torpedo Boat
Royal Navy,17 Oct 1940,HMS Dundalk (J 60),Minesweeper
Royal Navy,18 Oct 1940,HMS H 49 (N 49),Submarine
Royal Navy,18 Oct 1940,HMS Kingston Cairngorm,ASW Trawler
Royal Canadian Navy,19 Oct 1940,HMCS Bras d'Or,Minesweeper
Royal Navy,19 Oct 1940,HMS Venetia (D 53),Destroyer
Royal Navy,21 Oct 1940,HMS MTB 17 (MTB 17),Motor Torpedo Boat
Royal Navy,21 Oct 1940,HMS Waveflower (FY 703),MS Trawler
Royal Navy,22 Oct 1940,HMS Hickory (T 116),MS Trawler
Royal Navy,22 Oct 1940,HMS Joseph Button,MS Trawler
Royal Canadian Navy,22 Oct 1940,HMCS Margaree (H 49),Destroyer
Royal Navy,30 Oct 1940,HMS ML 109 (ML 109),Motor Launch
Royal Navy,30 Oct 1940,HMS Sturdy (i) (H 28),Destroyer
Royal Navy,31 Oct 1940,HMS MTB 16 (MTB 16),Motor Torpedo Boat
Royal Navy,1 Nov 1940,HMS Tilbury Ness,MS Trawler
Royal Navy,2 Nov 1940,HMS Rinovia,MS Trawler
Royal Navy,3 Nov 1940,HMS Laurentic (F 51),Armed Merchant Cruiser
Royal Navy,4 Nov 1940,HMS Patroclus,Armed Merchant Cruiser
Royal Navy,5 Nov 1940,HMS Jervis Bay (F 40),Armed Merchant Cruiser
Royal Navy,6 Nov 1940,HMS Sevra (FY 1652),MS Whaler
French Navy,7 Nov 1940,FR Poncelet,Submarine
Royal Navy,7 Nov 1940,HMS Swordfish (N 61),Submarine
Royal Navy,7 Nov 1940,HMS William Wesney,MS Trawler
Royal Navy,8 Nov 1940,HMS Muria,Rescue Tug
French Navy,9 Nov 1940,FR Bougainville,Colonial sloop
Royal Navy,10 Nov 1940,HMS Kingston Alalite (FY 136),ASW Trawler
Royal Navy,11 Nov 1940,HMS Stella Orion,MS Trawler
Royal Navy,15 Nov 1940,HMS Guardsman,Tug
Royal Navy,16 Nov 1940,HMS Arsenal (FY 140),ASW Trawler
Royal Navy,19 Nov 1940,HMS Fontenoy,MS Trawler
Royal Dutch Navy,19 Nov 1940,HNMS O 22 (P 22),Submarine
Royal Navy,22 Nov 1940,HMS ML 127 (ML 127),Motor Launch
Royal Navy,24 Nov 1940,HMS Amethyst (T 12),ASW Trawler
Royal Navy,25 Nov 1940,HMS Conquistador,MS Trawler
Royal Navy,25 Nov 1940,HMS Kennymore (FY 857),MS Trawler
Royal Navy,25 Nov 1940,HMS ML 111 (ML 111),Motor Launch
Royal Navy,27 Nov 1940,HMS Port Napier (M 32),Minelayer
Royal Navy,28 Nov 1940,HMS Manx Prince,MS Trawler
Royal Navy,29 Nov 1940,HMS Calverton (FY 775),MS Trawler
Royal Navy,30 Nov 1940,HMS Chestnut (T 110),MS Trawler
Royal Navy,2 Dec 1940,HMS Forfar (F 30),Armed Merchant Cruiser
Royal Navy,6 Dec 1940,HMS Regulus (i) (N 88),Submarine
Royal Navy,7 Dec 1940,HMS Capricornus,MS Trawler
Royal Navy,7 Dec 1940,HMS Cortina,MS Trawler
French Navy,14 Dec 1940,FR Branlebas,Torpedo boat
Royal Navy,14 Dec 1940,HMS Branlebas,Torpedo boat
Free French Navy,15 Dec 1940,FFL Narval (i),Submarine
Royal Navy,17 Dec 1940,HMS Acheron (i) (H 45),Destroyer
Royal Navy,18 Dec 1940,HMS Refundo (FY 830),MS Trawler
Royal Navy,18 Dec 1940,HMS Triton (N 15),Submarine
French Navy,19 Dec 1940,FR Sfax,Submarine
Royal Navy,21 Dec 1940,HMS Sun IX,Tug
Royal Navy,22 Dec 1940,HMS Hyperion (H 97),Destroyer
Royal Navy,24 Dec 1940,HMS Pelton,MS Trawler
Royal Navy,26 Dec 1940,HMS MTB 5 (MTB 5),Motor Torpedo Boat
Royal Hellenic Navy,29 Dec 1940,RHS Proteus (Y 3),Submarine
Royal Navy,30 Dec 1940,HMS Bandolero (FY 188),ASW Trawler
Royal Navy,1941,HMS LCT 1 (LCT 1),Landing Craft Tank
Royal Navy,1941,HMS LCT 15 (LCT 15),Landing Craft Tank
Royal Navy,1941,HMS LCT 19 (LCT 19),Landing Craft Tank
Royal Navy,1941,HMS LCT 20 (LCT 20),Landing Craft Tank
Royal Navy,1941,HMS LCT 6 (LCT 6),Landing Craft Tank
Royal Navy,11 Jan 1941,HMS Southampton (83),Light cruiser
Royal Navy,16 Jan 1941,HMS Desiree,MS Trawler
Royal Navy,20 Jan 1941,HMS Relonzo (FY 843),MS Trawler
Royal Navy,21 Jan 1941,HMS Englishman,Rescue Tug
Royal Navy,22 Jan 1941,HMS Luda Lady,MS Trawler
Royal Navy,22 Jan 1941,HMS St. Cyrus (W 47),Rescue Tug
Royal Navy,27 Jan 1941,HMS Darogah,MS Trawler
Royal Navy,31 Jan 1941,HMS Huntley (J 56),Minesweeper
Royal Navy,2 Feb 1941,HMS Almond (T 14),MS Trawler
Royal Navy,3 Feb 1941,HMS Crispin (i),Ocean boarding vessel
Royal Navy,5 Feb 1941,HMS Tourmaline (T 42),ASW Trawler
Royal Navy,6 Feb 1941,HMS MA/SB 12 (MA/SB 12),Motor Anti-Submarine  Boat
Royal Navy,12 Feb 1941,HMS Snapper (N 39),Submarine
Royal Navy,13 Feb 1941,HMS Rubens,ASW Trawler
Royal Navy,14 Feb 1941,HMS MTB 41 (MTB 41),Motor Torpedo Boat
Royal Navy,16 Feb 1941,HMS Ormonde (FY 782),MS Trawler
Royal Navy,20 Feb 1941,HMS Ouse (T 80),MS Trawler
Royal Navy,21 Feb 1941,HMS Lincoln City,ASW Trawler
Royal Navy,24 Feb 1941,HMS Dainty (H 53),Destroyer
Royal Navy,24 Feb 1941,HMS Manistee (F 104),Ocean boarding vessel
Royal Navy,24 Feb 1941,HMS Terror (I 03),Monitor
Royal Navy,25 Feb 1941,HMS Exmoor (i) (L 61),Escort destroyer
Royal Navy,25 Feb 1941,HMS Sarna,MS Whaler
Royal Navy,28 Feb 1941,HMS MA/SB 3 (MA/SB 3),Motor Anti-Submarine  Boat
Royal Navy,Mar 1941,HMS MGB 98 (MGB 98),Motor Gun Boat
Royal Navy,1 Mar 1941,HMS St. Donats,MS Trawler
Royal Navy,6 Mar 1941,HMS Keryado,MS Trawler
Royal Navy,6 Mar 1941,HMS Sun VII,Tug
Royal Navy,7 Mar 1941,HMS MTB 28 (MTB 28),Motor Torpedo Boat
Royal Navy,9 Mar 1941,HMS Gulfoss (FY 710),MS Trawler
Royal Navy,16 Mar 1941,HMS Lady Lilian,ASW Trawler
Royal Navy,17 Mar 1941,HMS Medusa (FY 018),Armed Yacht
Royal Navy,20 Mar 1941,HMS Sir Bevois,Tug
Royal Navy,21 Mar 1941,HMS Asama,MS Trawler
Royal Navy,24 Mar 1941,HMS Wilna (FY 323),Armed Yacht
Royal Canadian Navy,26 Mar 1941,HMCS Otter,Armed Yacht
Royal Navy,26 Mar 1941,HMS York (90),Heavy cruiser
Royal Navy,31 Mar 1941,HMS Bonaventure (i) (31),Light cruiser
Royal Hellenic Navy,4 Apr 1941,RHS Proussa,Torpedo boat
Royal Navy,4 Apr 1941,HMS Voltaire (F 47),Armed Merchant Cruiser
Royal Navy,5 Apr 1941,HMS Buffalo,Mooring vessel
Royal Navy,6 Apr 1941,HMS Anna Marie (FY 004),Armed Yacht
Royal Navy,6 Apr 1941,HMS Comorin (F 49),Armed Merchant Cruiser
Royal Navy,7 Apr 1941,HMS Rochebonne,MS Trawler
Royal Navy,13 Apr 1941,HMS Rajputana (F 35),Armed Merchant Cruiser
French Navy,14 Apr 1941,FR Conquérante,Gunboat
Royal Navy,16 Apr 1941,HMS Mohawk (F 31),Destroyer
Royal Navy,18 Apr 1941,HMS Fiona,Armed boarding vessel
Royal Navy,20 Apr 1941,HMS HDML 1003 (ML 1003),Harbour Defence Motor Launch
Royal Navy,20 Apr 1941,HMS HDML 1037 (ML 1037),Harbour Defence Motor Launch
Royal Hellenic Navy,20 Apr 1941,RHS Psara (D 96),Destroyer
Royal Navy,20 Apr 1941,HMS Topaze (T 40),ASW Trawler
Royal Hellenic Navy,21 Apr 1941,RHS Thyella,Torpedo boat
Royal Hellenic Navy,22 Apr 1941,RHS Aliakmon,Minelayer
Royal Hellenic Navy,22 Apr 1941,RHS Ydra (D 97),Destroyer
Royal Hellenic Navy,23 Apr 1941,RHS Doris,Torpedo boat
Royal Hellenic Navy,23 Apr 1941,RHS Kios,Torpedo boat
Royal Hellenic Navy,23 Apr 1941,RHS Nestos,Minelayer
Royal Hellenic Navy,24 Apr 1941,RHS Aigli,Torpedo boat
Royal Hellenic Navy,24 Apr 1941,RHS Alkyoni,Torpedo boat
Royal Hellenic Navy,24 Apr 1941,RHS Arethousa,Torpedo boat
Royal Navy,24 Apr 1941,HMS Calanthe,Armed Yacht
Royal Hellenic Navy,24 Apr 1941,RHS Kilkis,Coastal defence ship
Royal Hellenic Navy,24 Apr 1941,RHS Lemnos,Coastal defence ship
Royal Hellenic Navy,25 Apr 1941,RHS Kyzikos,Torpedo boat
Royal Hellenic Navy,25 Apr 1941,RHS Pergamos,Torpedo boat
Royal Hellenic Navy,26 Apr 1941,RHS Kidonia,Torpedo boat
Royal Navy,27 Apr 1941,HMS Diamond (H 22),Destroyer
Royal Navy,27 Apr 1941,HMS Patia,Ocean boarding vessel
Royal Navy,27 Apr 1941,HMS Wryneck (i) (L 04),Destroyer
Royal Hellenic Navy,28 Apr 1941,RHS Axios,Minelayer
Royal Navy,28 Apr 1941,HMS LCT 5 (LCT 5),Landing Craft Tank
Royal Navy,29 Apr 1941,HMS Chakla,Armed boarding vessel
Royal Indian Navy,30 Apr 1941,HMIS Parvati (4.179),Auxiliary patrol vessel
Royal Navy,30 Apr 1941,HMS Peuplier,Tug
Royal Navy,2 May 1941,HMS Alberic,MS Trawler
Royal Navy,2 May 1941,HMS Jersey (F 72),Destroyer
Royal Navy,3 May 1941,HMS Usk (i) (N 65),Submarine
Royal Navy,4 May 1941,HMS Ben Gairn,MS Trawler
Royal Navy,4 May 1941,HMS Fermoy (J 40),Minesweeper
Royal Navy,6 May 1941,HMS Camito (F 77),Ocean boarding vessel
Royal Navy,7 May 1941,HMS Stoke (J 33),Minesweeper
Royal Navy,8 May 1941,HMS Silicia,MS Trawler
Royal Navy,8 May 1941,HMS Viva II (FY 030),Armed Yacht
Royal Navy,10 May 1941,HMS HDML 1011 (ML 1011),Harbour Defence Motor Launch
Royal Navy,11 May 1941,HMS Undaunted (i) (N 55),Submarine
Royal Navy,12 May 1941,HMS Ladybird (T 58),River gunboat
Royal Navy,13 May 1941,HMS Salopian (F 94),Armed Merchant Cruiser
Royal Hellenic Navy,15 May 1941,RHS Leon (D 50),Destroyer
Royal Navy,20 May 1941,HMS Widnes (J 55),Minesweeper
Royal Navy,21 May 1941,HMS Juno (F 46),Destroyer
Royal Navy,22 May 1941,HMS Fiji (58),Light cruiser
Royal Navy,22 May 1941,HMS Gloucester (62),Light cruiser
Royal Navy,22 May 1941,HMS Greyhound (H 05),Destroyer
Royal Dutch Navy,22 May 1941,HNMS Nautilus (M 12),Minelayer
Royal Navy,23 May 1941,HMS Kashmir (F 12),Destroyer
Royal Navy,23 May 1941,HMS Kelly (F 01),Destroyer
French Navy,23 May 1941,FR Meuliere,Gunboat
Royal Navy,23 May 1941,HMS MTB 213 (MTB 213),Motor Torpedo Boat
Royal Navy,23 May 1941,HMS MTB 214 (MTB 214),Motor Torpedo Boat
Royal Navy,23 May 1941,HMS MTB 216 (MTB 216),Motor Torpedo Boat
Royal Navy,23 May 1941,HMS MTB 217 (MTB 217),Motor Torpedo Boat
Royal Navy,23 May 1941,HMS MTB 67 (MTB 67),Motor Torpedo Boat
Royal Navy,24 May 1941,HMS Hood (51),Battlecruiser
Royal Navy,25 May 1941,HMS Grimsby (L 16 / U 16),Sloop
Royal Navy,27 May 1941,HMS Syvern,ASW Whaler
Royal Navy,28 May 1941,HMS HDML 1030 (ML 1030),Harbour Defence Motor Launch
Royal Navy,28 May 1941,HMS Mashona (F 59),Destroyer
Royal Navy,29 May 1941,HMS Hereward (H 93),Destroyer
Royal Navy,29 May 1941,HMS Imperial (D 09),Destroyer
Royal Navy,29 May 1941,HMS Sindonis (FY 120),ASW Trawler
Royal Navy,1 Jun 1941,HMS Calcutta (D 82),Light cruiser
Royal Navy,2 Jun 1941,HMS Kos XXII,ASW Whaler
Royal Navy,2 Jun 1941,HMS LCT 16 (LCT 16),Landing Craft Tank
Royal Navy,5 Jun 1941,HMS Ash (T 39),MS Trawler
Royal Navy,10 Jun 1941,HMS Pintail (L 21 / K 21),Patrol vessel
French Navy,16 Jun 1941,FR Chevalier Paul,Large destroyer
