uboat,commander,ship_name,tonnage,nationality,convoy,coordinates,year,month,day
U-31,Johannes Habekost,Vinga,"1,974",5,0,"[('56.42', '1.13')]",1939,12,6
U-47,Günther Prien,Britta,"6,214",6,0,"[('60.00', '-4.32')]",1939,12,6
U-38,Heinrich Liebe,Thomas Walton,"4,460",0,0,"[('67.87', '14.47')]",1939,12,7
U-47,Günther Prien,Tajandoen,"8,159",9,0,"[('49.15', '-4.85')]",1939,12,7
U-23,Otto Kretschmer,Scotia,"2,400",7,0,"[('57.52', '2.28')]",1939,12,8
U-48,Herbert Schultze,Brandon,"6,668",0,18,"[('50.47', '-8.47')]",1939,12,8
U-20,Karl-Heinz Moehle,Magnus,"1,339",7,0,"[('57.80', '-0.58')]",1939,12,9
U-48,Herbert Schultze,San Alberto,"7,397",0,18,"[('49.33', '-9.75')]",1939,12,9
U-20,Karl-Heinz Moehle,Føina,"1,674",6,0,"[('57.75', '-1.10')]",1939,12,10
U-38,Heinrich Liebe,Garoufalia,"4,708",8,0,"[('64.60', '10.70')]",1939,12,11
U-38,Heinrich Liebe,Deptford,"4,101",0,0,"[('62.25', '5.13')]",1939,12,13
U-57,Claus Korth,Mina,"1,173",4,0,"[('52.25', '2.08')]",1939,12,13
U-48,Herbert Schultze,Germaine,"5,217",8,0,"[('51.00', '-12.30')]",1939,12,15
U-59,Harald Jürst,Glitrefjell,"1,568",6,0,"[('56.23', '1.07')]",1939,12,16
U-59,Harald Jürst,Lister,"1,366",5,0,"[('55.22', '1.55')]",1939,12,16
U-59,Harald Jürst,Bogø,"1,214",7,0,"[('56.20', '-0.28')]",1939,12,17
U-59,Harald Jürst,Jaegersborg,"1,245",7,0,"[('57.25', '-0.20')]",1939,12,17
U-21,Fritz Frauenheim,Carl Henckel,"1,352",5,0,"[('57.00', '0.28')]",1939,12,21
U-21,Fritz Frauenheim,Mars,"1,475",5,0,"[('57.00', '0.33')]",1939,12,21
U-30,Fritz-Julius Lemp,HMS Barbara Robertson,325,0,0,"[('58.90', '-6.50')]",1939,12,28
U-32,Paul Büchel,Luna,959,6,0,"[('58.80', '3.33')]",1939,12,31
U-58,Herbert Kuppisch,Svartön,"2,475",5,21,"[('57.80', '-1.78')]",1940,1,3
U-19,Joachim Schepke,Manx,"1,343",6,0,"[('58.50', '-1.55')]",1940,1,9
U-23,Otto Kretschmer,Fredville,"1,150",6,0,"[('58.42', '-1.17')]",1940,1,11
U-20,Karl-Heinz Moehle,Sylvia,"1,524",5,0,"[('58.75', '-1.20')]",1940,1,13
U-44,Ludwig Mathes,Arendskerk,"7,906",9,0,"[('46.92', '-6.57')]",1940,1,15
U-44,Ludwig Mathes,Fagerheim,"1,590",6,0,"[('47.33', '-6.27')]",1940,1,15
U-44,Ludwig Mathes,Panachrandos,"4,661",8,0,"[('48.50', '-9.17')]",1940,1,16
U-25,Viktor Schütze,Enid,"1,140",6,0,"[('60.97', '-0.88')]",1940,1,17
U-25,Viktor Schütze,Polzella,"4,751",0,0,"[('61.00', '-1.00')]",1940,1,17
U-25,Viktor Schütze,Pajala,"6,873",5,0,"[('59.08', '-5.93')]",1940,1,18
U-44,Ludwig Mathes,Canadian Reefer,"1,831",7,0,"[('42.65', '-9.70')]",1940,1,18
U-55,Werner Heidel,Foxen,"1,304",5,0,"[('58.87', '-0.37')]",1940,1,18
U-9,Wolfgang Lüth,Flandria,"1,179",5,0,"[('54.00', '3.67')]",1940,1,18
U-55,Werner Heidel,Telnes,"1,694",6,0,"[('60.00', '-4.00')]",1940,1,19
U-59,Harald Jürst,Quiberon,"1,296",3,0,"[('52.57', '2.08')]",1940,1,19
U-9,Wolfgang Lüth,Patria,"1,188",5,0,"[('54.27', '3.50')]",1940,1,19
U-44,Ludwig Mathes,Ekatontarchos Dracoulis,"5,329",8,0,"[('40.33', '-10.12')]",1940,1,20
U-57,Claus Korth,Miranda,"1,328",6,0,"[('58.23', '-2.08')]",1940,1,20
U-22,Karl-Heinrich Jenisch,HMS Exmouth (H 02),"1,475",0,0,"[('58.30', '-2.42')]",1940,1,21
U-22,Karl-Heinrich Jenisch,Tekla,"1,469",7,0,"[('58.30', '-2.42')]",1940,1,21
U-55,Werner Heidel,Andalusia,"1,357",5,0,"[('58.50', '-8.00')]",1940,1,21
U-25,Viktor Schütze,Songa,"2,589",6,0,"[('49.75', '-12.58')]",1940,1,22
U-51,Dietrich Knorr,Gothia,"1,640",5,0,"[('57.77', '-9.83')]",1940,1,22
U-55,Werner Heidel,Segovia,"1,387",6,0,"[('58.00', '-8.75')]",1940,1,22
U-61,Jürgen Oesten,Sydfold,"2,434",6,0,"[('58.67', '-0.50')]",1940,1,22
U-18,Ernst Mengersen,Bisp,"1,000",6,0,"[('58.85', '1.00')]",1940,1,23
U-19,Joachim Schepke,Baltanglia,"1,523",0,0,"[('55.58', '-1.45')]",1940,1,23
U-19,Joachim Schepke,Pluto,"1,598",6,0,"[('59.35', '-7.80')]",1940,1,23
U-23,Otto Kretschmer,Varild,"1,085",6,0,"[('59.45', '-0.40')]",1940,1,24
U-44,Ludwig Mathes,Alsacien,"3,819",3,25,"[('39.02', '-9.90')]",1940,1,24
U-14,Herbert Wohlfarth,Biarritz,"1,752",6,0,"[('52.65', '4.25')]",1940,1,25
U-19,Joachim Schepke,Everene,"4,434",13,0,"[('55.70', '-1.50')]",1940,1,25
U-19,Joachim Schepke,Gudveig,"1,300",6,0,"[('55.70', '-1.50')]",1940,1,25
U-44,Ludwig Mathes,Tourny,"2,769",3,25,"[('41.08', '-9.37')]",1940,1,25
U-20,Harro von Klot-Heydenfeldt,England,"2,319",7,0,"[('58.42', '-1.88')]",1940,1,27
U-20,Harro von Klot-Heydenfeldt,Fredensborg,"2,094",7,0,"[('58.42', '-1.88')]",1940,1,27
U-20,Harro von Klot-Heydenfeldt,Hosanger,"1,591",6,0,"[('58.42', '-1.88')]",1940,1,27
U-34,Wilhelm Rollmann,Eleni Stathatou,"5,625",8,0,"[('48.82', '-8.57')]",1940,1,28
U-44,Ludwig Mathes,Flora,"2,980",8,0,"[('11.92', '-72.60')]",1940,1,28
U-51,Dietrich Knorr,Eika,"1,503",6,0,"[('50.00', '-10.00')]",1940,1,29
U-55,Werner Heidel,Keramiai,"5,085",8,27,"[('48.62', '-7.77')]",1940,1,30
U-55,Werner Heidel,Vaclite,"5,026",0,27,"[('49.33', '-7.07')]",1940,1,30
U-13,Max-Martin Schulte,Start,"1,168",6,0,"[('57.75', '-1.80')]",1940,1,31
U-21,Wolf-Harro Stiebler,Vidar,"1,353",7,0,"[('58.65', '2.00')]",1940,1,31
U-59,Harald Jürst,Ellen M.,498,0,0,"[('52.55', '2.25')]",1940,2,1
U-59,Harald Jürst,Creofield,838,0,0,"[('52.55', '2.42')]",1940,2,2
U-59,Harald Jürst,Portelet,"1,064",0,0,"[('52.67', '2.22')]",1940,2,2
U-25,Viktor Schütze,Armanistan,"6,805",0,28,"[('38.25', '-11.25')]",1940,2,3
U-58,Herbert Kuppisch,Reet,815,4,0,"[('58.75', '0.60')]",1940,2,3
U-37,Werner Hartmann,Hop,"1,365",6,0,"[('58.92', '-0.23')]",1940,2,4
U-37,Werner Hartmann,Leo Dawson,"4,330",0,0,"[('60.17', '-0.65')]",1940,2,4
U-41,Gustav-Adolf Mugler,Beaverburn,"9,874",0,29,"[('49.33', '-10.12')]",1940,2,5
U-37,Werner Hartmann,Silja,"1,259",6,0,"[('51.35', '-11.53')]",1940,2,10
U-48,Herbert Schultze,Burgerdijk,"6,853",9,0,"[('49.75', '-6.50')]",1940,2,10
U-37,Werner Hartmann,Togimo,290,0,0,"[('50.67', '-11.03')]",1940,2,11
U-50,Max-Hermann Bauer,Orania,"1,854",5,0,"[('61.55', '-0.12')]",1940,2,11
U-53,Harald Grosse,Snestad,"4,114",6,0,"[('58.67', '-13.67')]",1940,2,11
U-9,Wolfgang Lüth,Linda,"1,213",4,0,"[('58.85', '1.90')]",1940,2,11
U-26,Heinz Scheringer,Nidarholm,"3,482",6,0,"[('50.83', '-14.17')]",1940,2,12
U-53,Harald Grosse,Dalarö,"3,927",5,0,"[('56.73', '-11.73')]",1940,2,12
U-25,Viktor Schütze,Chastine Mærsk,"5,177",7,0,"[('61.50', '2.00')]",1940,2,13
U-53,Harald Grosse,Norna,"1,022",5,0,"[('55.50', '-11.00')]",1940,2,13
U-26,Heinz Scheringer,Langleeford,"4,622",0,30,"[('51.67', '-12.67')]",1940,2,14
U-48,Herbert Schultze,Sultan Star,"12,306",0,0,"[('48.90', '-10.05')]",1940,2,14
U-53,Harald Grosse,Martin Goldschmidt,"2,095",7,0,"[('55.88', '-12.62')]",1940,2,14
U-14,Herbert Wohlfarth,Sleipner,"1,066",7,0,"[('58.30', '-1.77')]",1940,2,15
U-26,Heinz Scheringer,Steinstad,"2,477",6,0,"[('53.05', '-11.92')]",1940,2,15
U-37,Werner Hartmann,Aase,"1,206",7,0,"[('49.28', '-8.25')]",1940,2,15
U-48,Herbert Schultze,Den Haag,"8,971",9,0,"[('48.03', '-8.43')]",1940,2,15
U-50,Max-Hermann Bauer,Maryland,"4,895",7,0,"[('57.15', '-12.00')]",1940,2,15
U-14,Herbert Wohlfarth,Liana,"1,646",5,0,"[('57.85', '-2.00')]",1940,2,16
U-14,Herbert Wohlfarth,Osmed,"1,526",5,0,"[('57.85', '-2.00')]",1940,2,16
U-14,Herbert Wohlfarth,Rhone,"1,064",7,0,"[('58.30', '-1.77')]",1940,2,16
U-10,Joachim Preuss,Kvernaas,"1,819",6,0,"[('51.83', '3.32')]",1940,2,17
U-37,Werner Hartmann,Pyrrhus,"7,418",0,31,"[('44.03', '-10.30')]",1940,2,17
U-48,Herbert Schultze,Wilja,"3,396",2,0,"[('49.40', '-7.18')]",1940,2,17
U-10,Joachim Preuss,Ameland,"4,537",9,0,"[('51.90', '3.02')]",1940,2,18
U-23,Otto Kretschmer,HMS Daring (H 16),"1,375",0,32,"[('58.67', '-1.58')]",1940,2,18
U-37,Werner Hartmann,Ellin,"4,917",8,0,"[('44.05', '-9.70')]",1940,2,18
U-37,Werner Hartmann,P.L.M. 15,"3,754",3,33,"[('43.62', '-9.25')]",1940,2,18
U-53,Harald Grosse,Banderas,"2,140",14,0,"[('42.85', '-9.43')]",1940,2,18
U-61,Jürgen Oesten,El Sonador,"1,406",15,0,"[('59.15', '1.00')]",1940,2,18
U-61,Jürgen Oesten,Sangstad,"4,297",6,0,"[('59.00', '0.42')]",1940,2,18
U-23,Otto Kretschmer,Tiberton,"5,225",0,0,"[('58.92', '-1.88')]",1940,2,19
U-50,Max-Hermann Bauer,Tara,"4,760",9,0,"[('42.75', '-10.42')]",1940,2,21
U-50,Max-Hermann Bauer,British Endeavour,"4,580",0,35,"[('42.18', '-11.58')]",1940,2,22
U-63,Günther Lorentz,Santos,"3,840",5,0,"[('59.28', '-0.70')]",1940,2,24
U-20,Harro von Klot-Heydenfeldt,Maria Rosa,"4,211",16,0,"[('52.40', '1.98')]",1940,2,29
U-17,Udo Behrens,Rijnstroom,695,9,0,"[('51.60', '2.90')]",1940,3,2
U-32,Hans Jenisch,Lagaholm,"2,818",5,0,"[('59.57', '-5.17')]",1940,3,2
U-29,Otto Schuhart,Pacific Reliance,"6,717",0,37,"[('50.47', '-5.82')]",1940,3,4
U-29,Otto Schuhart,Thurston,"3,072",0,0,"[('50.38', '-5.82')]",1940,3,4
U-17,Udo Behrens,Grutto,920,9,0,"[('51.68', '2.78')]",1940,3,5
U-14,Herbert Wohlfarth,Vecht,"1,965",9,0,"[('51.75', '3.08')]",1940,3,7
U-14,Herbert Wohlfarth,Abbotsford,"1,585",0,0,"[('51.73', '3.37')]",1940,3,9
U-14,Herbert Wohlfarth,Akeld,643,0,0,"[('51.73', '3.37')]",1940,3,9
U-14,Herbert Wohlfarth,Borthwick,"1,097",0,0,"[('51.73', '3.37')]",1940,3,9
U-28,Günter Kuhnke,P. Margaronis,"4,979",8,0,"[('48.85', '-6.92')]",1940,3,9
U-38,Heinrich Liebe,Leukos,216,17,0,"[('55.65', '-8.75')]",1940,3,9
U-28,Günter Kuhnke,Eulota,"6,236",9,0,"[('48.58', '-8.37')]",1940,3,11
U-38,Heinrich Liebe,Argentina,"5,375",7,0,"[('60.78', '-0.50')]",1940,3,17
U-19,Joachim Schepke,Charkow,"1,026",7,0,"[('58.12', '-2.65')]",1940,3,19
U-19,Joachim Schepke,Minsk,"1,229",7,0,"[('58.12', '-2.65')]",1940,3,19
U-19,Joachim Schepke,Bothal,"2,109",7,0,"[('58.35', '-2.37')]",1940,3,20
U-19,Joachim Schepke,Viking,"1,153",7,0,"[('58.35', '-2.37')]",1940,3,20
U-38,Heinrich Liebe,Algier,"1,654",7,0,"[('60.28', '-2.82')]",1940,3,21
U-38,Heinrich Liebe,Christiansborg,"3,270",7,0,"[('60.28', '-2.82')]",1940,3,21
U-57,Claus Korth,Daghestan,"5,742",0,0,"[('58.78', '-2.77')]",1940,3,25
U-38,Heinrich Liebe,Cometa,"3,794",6,0,"[('60.10', '-4.60')]",1940,3,26
U-59,Harald Jürst,Navarra,"2,118",6,0,"[('59.00', '-4.00')]",1940,4,6
U-37,Werner Hartmann,Sveaborg,"9,076",5,0,"[('62.87', '-7.57')]",1940,4,10
U-37,Werner Hartmann,Tosca,"5,128",6,0,"[('62.87', '-7.57')]",1940,4,10
U-4,Hans-Peter Hinsch,HMS Thistle (N 24),"1,090",0,0,"[('59.15', '5.18')]",1940,4,10
U-37,Werner Hartmann,Stancliffe,"4,511",0,0,"[('61.65', '-0.12')]",1940,4,12
U-13,Max-Martin Schulte,Swainby,"4,935",0,0,"[('61.00', '-0.83')]",1940,4,17
U-26,Heinz Scheringer,Cedarbank,"5,159",0,39,"[('62.82', '4.17')]",1940,4,21
U-13,Max-Martin Schulte,Lily,"1,281",7,0,"[('34.75', '34.70')]",1940,4,26
U-9,Wolfgang Lüth,Doris (Q 135),552,3,0,"[('52.80', '3.82')]",1940,5,9
U-9,Wolfgang Lüth,Tringa,"1,930",0,0,"[('51.35', '2.92')]",1940,5,11
U-9,Wolfgang Lüth,Viiu,"1,908",4,0,"[('51.37', '2.43')]",1940,5,11
U-37,Victor Oehrn,Erik Frisell,"5,066",5,0,"[('57.42', '-9.25')]",1940,5,19
U-9,Wolfgang Lüth,Sigurd Faulbaum,"3,256",1,0,"[('51.48', '2.63')]",1940,5,23
U-37,Victor Oehrn,Kyma,"3,994",8,0,"[('48.50', '-9.50')]",1940,5,24
U-37,Victor Oehrn,Sheaf Mead,"5,008",0,0,"[('43.80', '-12.53')]",1940,5,27
U-37,Victor Oehrn,Uruguay,"3,425",18,0,"[('43.67', '-12.27')]",1940,5,27
U-37,Victor Oehrn,Brazza,"10,387",3,40,"[('42.72', '-11.00')]",1940,5,28
U-37,Victor Oehrn,Julien,116,3,0,"[('42.83', '-10.67')]",1940,5,28
U-37,Victor Oehrn,Marie José,"2,477",3,0,"[('42.65', '-9.43')]",1940,5,29
U-37,Victor Oehrn,Telena,"7,406",0,0,"[('42.42', '-9.13')]",1940,5,29
U-62,Hans-Bernhard Michalowski,HMS Grafton (H 89),"1,350",0,0,"[('51.37', '2.75')]",1940,5,29
U-101,Fritz Frauenheim,Stanhall,"4,831",0,0,"[('48.98', '-5.28')]",1940,5,30
U-101,Fritz Frauenheim,Orangemoor,"5,775",0,41,"[('49.72', '-3.38')]",1940,5,31
U-58,Herbert Kuppisch,HMS Astronomer,"8,401",0,0,"[('58.02', '-2.20')]",1940,6,1
U-101,Fritz Frauenheim,Polycarp,"3,577",0,0,"[('49.32', '-5.58')]",1940,6,2
U-37,Victor Oehrn,Snabb,"2,317",2,0,"[('45.85', '-14.25')]",1940,6,3
U-48,Hans Rudolf Rösing,Stancor,798,0,0,"[('58.80', '-8.75')]",1940,6,5
U-46,Engelbert Endrass,HMS Carinthia,"20,277",0,0,"[('53.22', '-10.67')]",1940,6,6
U-48,Hans Rudolf Rösing,Frances Massey,"4,212",0,0,"[('55.55', '-8.43')]",1940,6,7
U-46,Engelbert Endrass,Margareta,"2,155",2,0,"[('50.25', '-17.45')]",1940,6,9
U-101,Fritz Frauenheim,Mount Hymettus,"5,820",8,0,"[('42.22', '-11.33')]",1940,6,11
U-48,Hans Rudolf Rösing,Violando N. Goulandris,"3,598",8,0,"[('44.07', '-12.50')]",1940,6,11
U-101,Fritz Frauenheim,Earlspark,"5,250",0,0,"[('42.43', '-11.55')]",1940,6,12
U-46,Engelbert Endrass,Barbara Marie,"4,223",0,43,"[('44.27', '-13.90')]",1940,6,12
U-46,Engelbert Endrass,Willowbank,"5,041",0,43,"[('44.27', '-13.90')]",1940,6,12
U-25,Heinz Beduhn,HMS Scotstoun,"17,046",0,0,"[('57.00', '-9.95')]",1940,6,13
U-101,Fritz Frauenheim,Antonis Georgandis,"3,557",8,0,"[('42.75', '-16.33')]",1940,6,14
U-38,Heinrich Liebe,Mount Myrto,"5,403",8,0,"[('50.05', '-10.08')]",1940,6,14
U-47,Günther Prien,Balmoralwood,"5,834",0,44,"[('50.32', '-10.47')]",1940,6,14
U-38,Heinrich Liebe,Erik Boye,"2,238",19,44,"[('50.62', '-8.73')]",1940,6,15
U-38,Heinrich Liebe,Italia,"9,973",6,44,"[('50.62', '-8.73')]",1940,6,15
U-101,Fritz Frauenheim,Wellington Star,"13,212",0,0,"[('42.65', '-17.02')]",1940,6,16
UA,Hans Cohausz,HMS Andania,"13,950",0,0,"[('62.60', '-15.15')]",1940,6,16
U-46,Engelbert Endrass,Elpis,"3,651",8,0,"[('43.77', '-14.10')]",1940,6,17
U-28,Günter Kuhnke,Sarmatia,"2,417",2,0,"[('49.07', '-12.08')]",1940,6,18
U-32,Hans Jenisch,Altair,"1,522",6,0,"[('49.65', '-11.25')]",1940,6,18
U-32,Hans Jenisch,Nuevo Ons,108,14,0,"[('49.65', '-11.00')]",1940,6,18
